profile_name,post_location,keyword,profile_url,post_text,post_date,post_url
Mayim Bialik,new york,shabbat,https://www.facebook.com/MissMayim?__cft__[0]=AZU1elTTJhsWZLri4eFeKejAFX1SM3Ygu7DlCQW4C1h-a1EBI3ZIG7LelxrDIqGjzocVCvp761_VpzOW_0uxzBUQz0V2uA4aD2U6GRTBr3lg3ddzAZQzJe3JHFYMGIdcnGY&__tn__=-UC%2CP-R,#SixthNight was just before Shabbat began here in Israel.,25 December 2022,https://www.facebook.com/MissMayim/posts/734694941351993?__cft__[0]=AZU1elTTJhsWZLri4eFeKejAFX1SM3Ygu7DlCQW4C1h-a1EBI3ZIG7LelxrDIqGjzocVCvp761_VpzOW_0uxzBUQz0V2uA4aD2U6GRTBr3lg3ddzAZQzJe3JHFYMGIdcnGY&__tn__=%2CO%2CP-R
JDC,new york,shabbat,https://www.facebook.com/TheJDC?__cft__[0]=AZX8TiRkv_NzfeE_WftnteLwJeM9Nmn28ITjZdFCyjudN0IHrlMThV8WxQkJa0g20J_cYaSFDCd2SL_lqwKmfASyO4HsrD7Z0vdyguO0cAF1285mPWohbK6M2gevb8YFMjI&__tn__=-]C%2CP-R,"Shabbat Shalom from the JDC-supported Halom Jewish Community Center (JCC) in Kyiv, Ukraine. Members of Yahad–Halom’s teen group–recently had their hands full, kneading more than 66 pounds of dough into challahs for poor and vulnerable Jews.  ",3 d,https://www.facebook.com/TheJDC/posts/553843986787438?__cft__[0]=AZX8TiRkv_NzfeE_WftnteLwJeM9Nmn28ITjZdFCyjudN0IHrlMThV8WxQkJa0g20J_cYaSFDCd2SL_lqwKmfASyO4HsrD7Z0vdyguO0cAF1285mPWohbK6M2gevb8YFMjI&__tn__=%2CO%2CP-R
Israel Defense Forces,new york,shabbat,https://www.facebook.com/idfonline?__cft__[0]=AZUNJqkBTlbgbfM8oY2fI8ob1pF6Q10Cz5RC7ubfbu9GggmhTJO7N0DROimAwRqHvJ411WcNL4V9mHNoBkznEqnJol4c5u-4U4FwGC93Jwjr9wkcUi1J9vZP0m11zDs8nNU&__tn__=-UC%2CP-R,It’s time to light the candles—for Shabbat and the 6th night of Hanukkah! ,23 December 2022,https://www.facebook.com/idfonline/posts/520285756800111?__cft__[0]=AZUNJqkBTlbgbfM8oY2fI8ob1pF6Q10Cz5RC7ubfbu9GggmhTJO7N0DROimAwRqHvJ411WcNL4V9mHNoBkznEqnJol4c5u-4U4FwGC93Jwjr9wkcUi1J9vZP0m11zDs8nNU&__tn__=%2CO%2CP-R
profile_name,post_location,keyword,profile_url,post_text,post_date,post_url
Israel en Ecuador,chicago,shabat,https://www.facebook.com/IsraelinEcuador?__cft__[0]=AZV_PN4m1xsNMWT-alV0RPjJDyiwH0cDXUwWJeIpE4qyAY8-R3eVJ_a-lVhT-FnKqmcKukbaWFliDgsFf2iYvlVVorSe_zLlxyNLoFUfm6FOSN4xxXMMSCOr9qhcZ6MOJ5Q&__tn__=-UC%2CP-R,"A little over 100 years ago, this city was just sand dunes and dreams. Today dreams are reality and #TelAviv became one of the most vibrant, innovative and beautiful cities in the world.",3 d,https://www.facebook.com/IsraelinEcuador/posts/573722308122466?__cft__[0]=AZV_PN4m1xsNMWT-alV0RPjJDyiwH0cDXUwWJeIpE4qyAY8-R3eVJ_a-lVhT-FnKqmcKukbaWFliDgsFf2iYvlVVorSe_zLlxyNLoFUfm6FOSN4xxXMMSCOr9qhcZ6MOJ5Q&__tn__=%2CO%2CP-R
Israel Defense Forces,chicago,shabat,https://www.facebook.com/idfonline?__cft__[0]=AZVUJefDaLNrGOe81lKeMTSjyc9MrY4mbfdERjqbhYe-RxooTiBFnJp6umVTZg9mucU5WFZGWgRRZZrVdQpAKzmInHYsAtbIVFzypPoucQDILxDOAvtTlKgeOasIwHRA_wo&__tn__=-UC%2CP-R,"The IDF protects Israeli civilians 24/7, 365 days a year. ",3 d,https://www.facebook.com/idfonline/posts/539068131588540?__cft__[0]=AZVUJefDaLNrGOe81lKeMTSjyc9MrY4mbfdERjqbhYe-RxooTiBFnJp6umVTZg9mucU5WFZGWgRRZZrVdQpAKzmInHYsAtbIVFzypPoucQDILxDOAvtTlKgeOasIwHRA_wo&__tn__=%2CO%2CP-R
Anastasiya•Averbukh•Family,chicago,shabat,https://www.facebook.com/profile.php?id=100064839641539&__cft__[0]=AZVxb1gSPy4VqNl-_ATKpe8dPjMSTpYZhYpmAoaLf6irL46T5YDKGtS8KfZPPUpV-ugRJXQn-2_tID8FU5RtmRDTh9obD0tHW2u22jW-6UYzIAjjf_6qFS-Rax55BpB9oVncfnRk9LnYWUqPasKAA4Gn&__tn__=-UC%2CP-R,#anastasiaaverbukh #topstarmodel #isrial Golden hour  #shabat #weekend #reels #tlv Style @noizzbymania,17 October 2021,https://www.facebook.com/permalink.php?story_fbid=242247581279895&id=100064839641539&__cft__[0]=AZVxb1gSPy4VqNl-_ATKpe8dPjMSTpYZhYpmAoaLf6irL46T5YDKGtS8KfZPPUpV-ugRJXQn-2_tID8FU5RtmRDTh9obD0tHW2u22jW-6UYzIAjjf_6qFS-Rax55BpB9oVncfnRk9LnYWUqPasKAA4Gn&__tn__=%2CO%2CP-R
Spirit of the Holy Land,chicago,shabat,https://www.facebook.com/HolyLandSpirit?__cft__[0]=AZXzwAgCfqlDEB2TokvoWcJ31p3mAP3qVcKCNdR9VbQc5pSzFlMImLBtiw5PwjjZa4iyy6b-KxXscvfw-7bFRLyjySvgJmxbDUCohNnMww5IfzapAjWJBWtUWnpLvVPzVes&__tn__=-UC%2CP-R,Shabat shalom from The Sea Of Galilee,3 d,https://www.facebook.com/HolyLandSpirit/posts/545947637565399?__cft__[0]=AZXzwAgCfqlDEB2TokvoWcJ31p3mAP3qVcKCNdR9VbQc5pSzFlMImLBtiw5PwjjZa4iyy6b-KxXscvfw-7bFRLyjySvgJmxbDUCohNnMww5IfzapAjWJBWtUWnpLvVPzVes&__tn__=%2CO%2CP-R
Fuerzas de Defensa de Israel,chicago,shabat,https://www.facebook.com/FDIespanol?__cft__[0]=AZXkzOns91DUEjcIGLXAqyJwuszcJbxzEGoRB9y1sYPViHMTDL37nCVejB2B1eRKKOoEpnFaVqV0DHx-OcJPjZ2Xnc01XfO54N2XsJaHpT-R8WOjMpD7aXmCMhPChoUDwwk&__tn__=-UC%2CP-R,"IDF protects Israeli civilians 24/7, 365 days a year.",3 d,https://www.facebook.com/FDIespanol/posts/552837866876276?__cft__[0]=AZXkzOns91DUEjcIGLXAqyJwuszcJbxzEGoRB9y1sYPViHMTDL37nCVejB2B1eRKKOoEpnFaVqV0DHx-OcJPjZ2Xnc01XfO54N2XsJaHpT-R8WOjMpD7aXmCMhPChoUDwwk&__tn__=%2CO%2CP-R
Israel in the USA,chicago,shabat,https://www.facebook.com/IsraelinUSA?__cft__[0]=AZVr0yFjUOBxDXc9IRGg80SMA1oJGT3InImLdZ9A133rCHNy1QSmgHVPZ7yMIOQw7M-qkSitNErB40lxqJ2XukcZ4PRWkcU4Ru2nKimdWf-32tjPLEXZuZXanVIZug65MLc&__tn__=-UC%2CP-R,Shabbat Shalom from Masada!,3 d,https://www.facebook.com/IsraelinUSA/posts/555249673311197?__cft__[0]=AZVr0yFjUOBxDXc9IRGg80SMA1oJGT3InImLdZ9A133rCHNy1QSmgHVPZ7yMIOQw7M-qkSitNErB40lxqJ2XukcZ4PRWkcU4Ru2nKimdWf-32tjPLEXZuZXanVIZug65MLc&__tn__=%2CO%2CP-R
