profile_name,post_location,keyword,profile_url,post_text,post_date,post_url
Great Kosher Restaurants Foodies,salt lake,shabbat,/groups/320656708120313/?hoisted_section_header_type=recently_seen&multi_permalinks=2190190714500227&__cft__[0]=AZWen4tNZ-yyPcopr7ZQpP7uR_kbG6LWh1SXjVAgkEKnFI9ABwoABPdiLSW_GBhfIgw4k8GOIPmYW9fkt7HZyE_79bQFJjYavTdG7VDBUDMKOyq1OiywGmQVkkU3r3o__K8pldV8smo6_x0G5gabpyEM&__tn__=-UC%2CP-R,"Bristol Kosher Deli located in canyons resort, Park City,  Utah. ",2 h,/groups/320656708120313/user/558260259/?__cft__[0]=AZWen4tNZ-yyPcopr7ZQpP7uR_kbG6LWh1SXjVAgkEKnFI9ABwoABPdiLSW_GBhfIgw4k8GOIPmYW9fkt7HZyE_79bQFJjYavTdG7VDBUDMKOyq1OiywGmQVkkU3r3o__K8pldV8smo6_x0G5gabpyEM&__tn__=%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZUdt_PyWkEAEIpOl4dBmepsCHZZPOXfeNszKE81aQcNdEMpxLiKueH1IpXRlyyv3247pMiKuvfPN60cmjs_M3NvUK2IzzAdJqVQhJNI1fACnwb_EEnbQPhDM0YCRHmG7jM&__tn__=kC%2CP-R,Shabbat Shalom! Please join us for services this weekend (in-person or via livestream at kolamireform.livecontrol.tv).,1 d,https://www.facebook.com/congregationkolamiUTAH/posts/6632131453469646?__cft__[0]=AZUdt_PyWkEAEIpOl4dBmepsCHZZPOXfeNszKE81aQcNdEMpxLiKueH1IpXRlyyv3247pMiKuvfPN60cmjs_M3NvUK2IzzAdJqVQhJNI1fACnwb_EEnbQPhDM0YCRHmG7jM&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZUKtJOhkHU6z6L9yW0Skd4H6Z7o8NtpHG-JBldqrHj9b8LQ7r4uXErxZx6voGXieLULCLwETq_MUglBRqX51kEU7lEnhdN8n9RnwWQAMdUN5E8ehrj_HsqP-KFt--8MLNc&__tn__=kC%2CP-R,Shabbat Shalom! L'Shanah Tovah! Please join us for services this weekend (in-person or via livestream at kolamireform.livecontrol.tv).,24 September 2022,https://www.facebook.com/congregationkolamiUTAH/posts/6252164858132976?__cft__[0]=AZUKtJOhkHU6z6L9yW0Skd4H6Z7o8NtpHG-JBldqrHj9b8LQ7r4uXErxZx6voGXieLULCLwETq_MUglBRqX51kEU7lEnhdN8n9RnwWQAMdUN5E8ehrj_HsqP-KFt--8MLNc&__tn__=%2CO%2CP-R
Rabbi Benny Zippel,salt lake,shabbat,https://www.facebook.com/rabbi.zippel?__cft__[0]=AZUlwc8PrZEQtZSdkZDHUUpWQ1QH49rydfxXd-PKNNQoxzNBC8638QyKHr8nM-LD9OXsJj8HBAy8bRKmEtacc7ultXKsVEEJI5adnZdewW5Dr1dj32NMOUY8Z4suKTSk-2U&__tn__=-]C%2CP-R,When you go shopping at Costco for Shabbat and you find…….a precious fellow Jew #chabadpolishinggems,16 December 2022,https://www.facebook.com/rabbi.zippel/posts/10167458208965475?__cft__[0]=AZUlwc8PrZEQtZSdkZDHUUpWQ1QH49rydfxXd-PKNNQoxzNBC8638QyKHr8nM-LD9OXsJj8HBAy8bRKmEtacc7ultXKsVEEJI5adnZdewW5Dr1dj32NMOUY8Z4suKTSk-2U&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZUTwWKm0EPRGpfKvtF_hhqN1hVwXyPm1eR2flIk02uPmTc48hdWbIcB2tm9mDOwDlXY0phtru_y1ema9VXopClwNXH0pNQZOym2TYI0UKKuGaMCKKvknzsdbW4-YPWgSX8&__tn__=kC%2CP-R,Join Rabbi Sam Spector this Saturday following our Shabbat morning service for a learning session on halacha. Please meet in the Library 20 minutes after the service concludes!....… See more,16 December 2022,https://www.facebook.com/congregationkolamiUTAH/posts/6524752500874209?__cft__[0]=AZUTwWKm0EPRGpfKvtF_hhqN1hVwXyPm1eR2flIk02uPmTc48hdWbIcB2tm9mDOwDlXY0phtru_y1ema9VXopClwNXH0pNQZOym2TYI0UKKuGaMCKKvknzsdbW4-YPWgSX8&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZXrzJNteDqVMYjdLzudDT5-re4mTl0mRTlejeD0oHCz-KMy-DuA2cU-f_11VCbGmi5UuJyZO9JvWtTjOI8aojPiJk-MxC8sznz0rO4YD2E7u_NKyD-Hn2UIv7DbpB4Rpio&__tn__=kC%2CP-R,Shabbat Shalom! Please join us for services this weekend (in-person or via livestream at kolamireform.livecontrol.tv).,10 December 2022,https://www.facebook.com/congregationkolamiUTAH/posts/6495706947112098?__cft__[0]=AZXrzJNteDqVMYjdLzudDT5-re4mTl0mRTlejeD0oHCz-KMy-DuA2cU-f_11VCbGmi5UuJyZO9JvWtTjOI8aojPiJk-MxC8sznz0rO4YD2E7u_NKyD-Hn2UIv7DbpB4Rpio&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZVEqRcfCq5jdUHCyuCExnfgrJ_IJ9z0QbJYMdW3CVGNMG7oMRjre5fdz7qg8i9PXv74UNUIXWtCcFF_1wqnHVr-eXK9wMAiXXDIX1NF8C_-wqSJqBW92Hr0WK-7blS3GPQ&__tn__=kC%2CP-R,Join us for a family-friendly Shabbat dinner and service! Our evening will begin at 5:30 pm with dinner followed by our Erev Shabbat service at 6:30 pm.,3 d,https://www.facebook.com/congregationkolamiUTAH/posts/6626112434071548?__cft__[0]=AZVEqRcfCq5jdUHCyuCExnfgrJ_IJ9z0QbJYMdW3CVGNMG7oMRjre5fdz7qg8i9PXv74UNUIXWtCcFF_1wqnHVr-eXK9wMAiXXDIX1NF8C_-wqSJqBW92Hr0WK-7blS3GPQ&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZVfOtEoehKKRZXGVL3BVnY-PRoSm4E-Jv1kEmuPFAGDkwnfpEfsWKNlZktR-kUrXn7PN5xA0WyDmWMHYMFMTA-51Feh1xkVpS-FqsVMl7RX4rihDqzk9XrFIHX6j2c7oDo&__tn__=kC%2CP-R,Shabbat Shalom! Please join us for services this weekend (in-person or via livestream at kolamireform.livecontrol.tv).,29 October 2022,https://www.facebook.com/congregationkolamiUTAH/posts/6368231213193006?__cft__[0]=AZVfOtEoehKKRZXGVL3BVnY-PRoSm4E-Jv1kEmuPFAGDkwnfpEfsWKNlZktR-kUrXn7PN5xA0WyDmWMHYMFMTA-51Feh1xkVpS-FqsVMl7RX4rihDqzk9XrFIHX6j2c7oDo&__tn__=%2CO%2CP-R
Congregation Kol Ami,salt lake,shabbat,https://www.facebook.com/congregationkolamiUTAH/?__cft__[0]=AZXOkEw4AqRiYZwuafONw28B-vnvOndthHsxlHu4ZDwPXSKiObcop3yzC6TMF9pELx7TfJnOVswkkm2HLezisssaSijxzRugLfgCnZjWPrvZSPJZAOkFKOXIeEwkvEHjyWQ&__tn__=kC%2CP-R,Join Rabbi Sam Spector this Saturday following our Shabbat morning service for a learning session on halacha. Please meet in the Library 20 minutes after the service concludes!....… See more,11 January at 21:01,https://www.facebook.com/congregationkolamiUTAH/posts/6602508566431935?__cft__[0]=AZXOkEw4AqRiYZwuafONw28B-vnvOndthHsxlHu4ZDwPXSKiObcop3yzC6TMF9pELx7TfJnOVswkkm2HLezisssaSijxzRugLfgCnZjWPrvZSPJZAOkFKOXIeEwkvEHjyWQ&__tn__=%2CO%2CP-R
profile_name,post_location,keyword,profile_url,post_text,post_date,post_url
Hadassah,new york,shabbat,https://www.facebook.com/Hadassah?__cft__[0]=AZX4O2sAN7IrXLAX4C0Eacbey4yak4agedu0ur1To33JVtPhqkRbHu3DaXXRASaernyoR0fc6FyeULHxPAmJGJKzbEYc0O46RXtL_vOB8Q-KJTIQYGpoadP2_64ETKwE8ng&__tn__=-UC%2CP-R,Shabbat Shalom from all of us at Hadassah! #ShabbatShalom,3 d,https://www.facebook.com/Hadassah/posts/547104127454997?__cft__[0]=AZX4O2sAN7IrXLAX4C0Eacbey4yak4agedu0ur1To33JVtPhqkRbHu3DaXXRASaernyoR0fc6FyeULHxPAmJGJKzbEYc0O46RXtL_vOB8Q-KJTIQYGpoadP2_64ETKwE8ng&__tn__=%2CO%2CP-R
Israel Defense Forces,new york,shabbat,https://www.facebook.com/idfonline?__cft__[0]=AZUueIfMAW8qSzCSu9csO9Nr2SYy09xsvwbKRsvA9kqEHWO34RhT3TC3aKagQBtpYiIxW53IzE1eajljAJsqhY5FrEjj0dpCBXRK7gnyZZZtX_DJ2mGtNBa2cTlhJo6T3jg&__tn__=-UC%2CP-R,"The IDF protects Israeli civilians 24/7, 365 days a year. ",3 d,https://www.facebook.com/idfonline/posts/539068131588540?__cft__[0]=AZUueIfMAW8qSzCSu9csO9Nr2SYy09xsvwbKRsvA9kqEHWO34RhT3TC3aKagQBtpYiIxW53IzE1eajljAJsqhY5FrEjj0dpCBXRK7gnyZZZtX_DJ2mGtNBa2cTlhJo6T3jg&__tn__=%2CO%2CP-R
Israel Forever Foundation,new york,shabbat,https://www.facebook.com/IsraelForeverFoundation?__cft__[0]=AZVqnUi3bFGBjMoNMtxCnSvzHbDqDDu_ENWwBc7jEX7UP0c2mW5IecOTTXqILOz54iuOt15emxqbm8pW0aobv9VHGhbBy1wPwm0QAMCsHFcCBLITOVzrqkEV_18Uk0HeBg0&__tn__=-UC%2CP-R,"Shabbat is the highlight of the #Jewish week, the day that represents not only a physical day of rest, but also a #spiritual menuchah (spiritual rest). Each week we light candles, drink wine at Kiddush, eat a festive meal and slow down our hectic lives to enjoy family and friends. We fill our #Shabbat with meaning, and delve into the depths of Torah.Throughout the year we look at the portions of the #Torah as well to study what they too can teach us about ourselves as a nati… See more",4 d,https://www.facebook.com/IsraelForeverFoundation/posts/558167979686861?__cft__[0]=AZVqnUi3bFGBjMoNMtxCnSvzHbDqDDu_ENWwBc7jEX7UP0c2mW5IecOTTXqILOz54iuOt15emxqbm8pW0aobv9VHGhbBy1wPwm0QAMCsHFcCBLITOVzrqkEV_18Uk0HeBg0&__tn__=%2CO%2CP-R
Israel Defense Forces,new york,shabbat,https://www.facebook.com/idfonline?__cft__[0]=AZWusKs0GIpKnsxgU80xjo1N9oflJ6LdFeF0llcKQEqaXNzRmA7Ehzxmj3UkPTyR-O8VDCLvh1sYp3VwMgGGfkAmmIVCxx6lJa1po-nMwF3KyJksl3E_2zrehFDR8L-Q-P0&__tn__=-UC%2CP-R,Time to get in tune with the weekend Shabbat Shalom!,6 January at 19:03,https://www.facebook.com/idfonline/posts/530136829148337?__cft__[0]=AZWusKs0GIpKnsxgU80xjo1N9oflJ6LdFeF0llcKQEqaXNzRmA7Ehzxmj3UkPTyR-O8VDCLvh1sYp3VwMgGGfkAmmIVCxx6lJa1po-nMwF3KyJksl3E_2zrehFDR8L-Q-P0&__tn__=%2CO%2CP-R
Israel in the USA,new york,shabbat,https://www.facebook.com/IsraelinUSA?__cft__[0]=AZWK_SyW-h_HGq6r0bdnsnGxa-9L6pqYKPWduoPZplG6m_mXWGY5o_DC5y9RwZ3SDD4nacQpv6EhXU89XZiv1DzIe9TyBFJwmp6n58F9cYZNEwqf_BadQGPOhQwCzywsr1Q&__tn__=-UC%2CP-R,Shabbat Shalom from Masada!,3 d,https://www.facebook.com/IsraelinUSA/posts/555249673311197?__cft__[0]=AZWK_SyW-h_HGq6r0bdnsnGxa-9L6pqYKPWduoPZplG6m_mXWGY5o_DC5y9RwZ3SDD4nacQpv6EhXU89XZiv1DzIe9TyBFJwmp6n58F9cYZNEwqf_BadQGPOhQwCzywsr1Q&__tn__=%2CO%2CP-R
Wilbur Ministries,new york,shabbat,https://www.facebook.com/PaulWilbur/?__cft__[0]=AZX089YooGO_oQaZ4ELZGOU0zdslGy84CYfVxu41KgwIgUJA1pRUyCcCxfZDuBu7OzeCom9rBhzf7p857VFtD-vz4wVijV-fFiUi3PQ9m5AwZBZoEGVn3XAcacgkFuajBRQKi50k69yiTNteznBwWFg_&__tn__=-UC%2CP-R,"Shabbat Shalom!Friday‘s @ 6:00 pm EDT - Shabbat in Your HomePlatforms: Facebook, YouTube, Instagram & app (iTunes or Google Play).",3 d,https://www.facebook.com/PaulWilbur/photos/a.458754197776/10160181681462777/?__cft__[0]=AZX089YooGO_oQaZ4ELZGOU0zdslGy84CYfVxu41KgwIgUJA1pRUyCcCxfZDuBu7OzeCom9rBhzf7p857VFtD-vz4wVijV-fFiUi3PQ9m5AwZBZoEGVn3XAcacgkFuajBRQKi50k69yiTNteznBwWFg_&__tn__=%2CO%2CP-R
Israel Defense Forces,new york,shabbat,https://www.facebook.com/idfonline?__cft__[0]=AZVSrwAv0PUVRcLDPU6nhoumKrOLU42jRNNoPKaRv26LD9UuyIhRVhxfhYgveQHp6rTrUELrYHV6hUumzRFi8U9LuX1uqM2cdDbJIrHrzsdz_9Yy9-F1StPX3F1fVnkAfJg&__tn__=-UC%2CP-R,"For the last time this year, we wish you a Shabbat Shalom.",30 December 2022 at 19:01,https://www.facebook.com/idfonline/posts/525334892961864?__cft__[0]=AZVSrwAv0PUVRcLDPU6nhoumKrOLU42jRNNoPKaRv26LD9UuyIhRVhxfhYgveQHp6rTrUELrYHV6hUumzRFi8U9LuX1uqM2cdDbJIrHrzsdz_9Yy9-F1StPX3F1fVnkAfJg&__tn__=%2CO%2CP-R
Tsahal-Armée de Défense d'Israël,new york,shabbat,https://www.facebook.com/tsahalfr?__cft__[0]=AZW6RmWEdC7tzW-i-iolZpOBsprdiNp7hxRBn0Qx3XdrcHMWc8lT07H2F_7pjaIWP_cBZDalU7XCXzVIVbgUokCdU1DTW4cZW0WGMEbuQiPykzI7GndSpCXCdpVvNgaK4NE&__tn__=-UC%2CP-R,"Tsahal protects Israeli civilians 24/7, 365 days a year.",3 d,https://www.facebook.com/tsahalfr/posts/547538607415861?__cft__[0]=AZW6RmWEdC7tzW-i-iolZpOBsprdiNp7hxRBn0Qx3XdrcHMWc8lT07H2F_7pjaIWP_cBZDalU7XCXzVIVbgUokCdU1DTW4cZW0WGMEbuQiPykzI7GndSpCXCdpVvNgaK4NE&__tn__=%2CO%2CP-R
Mayim Bialik,new york,shabbat,https://www.facebook.com/MissMayim?__cft__[0]=AZX42RPkHQ-dyicu3G3glP3w71NAKETcjO6kMSI7BVoS9hI9zD-hR7ZWrU6AR6LsdFquI5tbhfixJCAbuNszpdVhJ9NRfnPIpdW-Fma7jz0rsuihAIu_rxCzJARTHboQ7JQ&__tn__=-UC%2CP-R,#SeventhNight just after Shabbat ended here in Israel.,25 December 2022,https://www.facebook.com/MissMayim/posts/734696011351886?__cft__[0]=AZX42RPkHQ-dyicu3G3glP3w71NAKETcjO6kMSI7BVoS9hI9zD-hR7ZWrU6AR6LsdFquI5tbhfixJCAbuNszpdVhJ9NRfnPIpdW-Fma7jz0rsuihAIu_rxCzJARTHboQ7JQ&__tn__=%2CO%2CP-R
Israel in Thailand,new york,shabbat,https://www.facebook.com/IsraelinThailand?__cft__[0]=AZWG5iStnlWiKLzYJmoPkLQCv_-HlR98wVw5pFvLpIo2npeBVrCr_kPy7w5_k_R5_ZUgKZMfWakOI1vgsSLZh8odanIVuH7Yf6yyO-AqZV6fdPZ2I-fcs_WTAuHjqWSQnME&__tn__=-UC%2CP-R,ของฝากจากตลาดคาร์เมล นครเทล อาวีฟ ,4 d,https://www.facebook.com/IsraelinThailand/posts/557964153030855?__cft__[0]=AZWG5iStnlWiKLzYJmoPkLQCv_-HlR98wVw5pFvLpIo2npeBVrCr_kPy7w5_k_R5_ZUgKZMfWakOI1vgsSLZh8odanIVuH7Yf6yyO-AqZV6fdPZ2I-fcs_WTAuHjqWSQnME&__tn__=%2CO%2CP-R
Friends of the IDF (FIDF),new york,shabbat,https://www.facebook.com/FIDFNational?__cft__[0]=AZVo6-C9mSn-szy8UkEgmqgUnyEVSBbJJgyWu_oXtOUXL_99-kbrlwWN1Iv0WBTQ33ZjBywmixBch8QtihWAgEs0Oc3eaas7Bd-tLVjAZNeh-EN_ObqDavan7tWqXiJyQEI&__tn__=-UC%2CP-R,"Wishing all FIDF supporters a wonderful Shabbat full of memorable moments, friends, family, and love ",3 d,https://www.facebook.com/FIDFNational/posts/550229747137085?__cft__[0]=AZVo6-C9mSn-szy8UkEgmqgUnyEVSBbJJgyWu_oXtOUXL_99-kbrlwWN1Iv0WBTQ33ZjBywmixBch8QtihWAgEs0Oc3eaas7Bd-tLVjAZNeh-EN_ObqDavan7tWqXiJyQEI&__tn__=%2CO%2CP-R
Eliad Cohen,new york,shabbat,https://www.facebook.com/EliadCohen88?__cft__[0]=AZXyIuXiwgeJ_mPOtxP3RS3iMtXvTgDZMg0BsCcLxpY29PZkS18zHRfvC68u6gm4HLZoBcz51qwL2nQgt_iTLLdYFlvFAUd_Fs1q5g2cLbZ2FrlweVeumL17xK-EbrzPGxE&__tn__=-]C%2CP-R,Shabbat Shalom ,3 d,https://www.facebook.com/EliadCohen88/posts/727665082052189?__cft__[0]=AZXyIuXiwgeJ_mPOtxP3RS3iMtXvTgDZMg0BsCcLxpY29PZkS18zHRfvC68u6gm4HLZoBcz51qwL2nQgt_iTLLdYFlvFAUd_Fs1q5g2cLbZ2FrlweVeumL17xK-EbrzPGxE&__tn__=%2CO%2CP-R
Jewish Federations of North America,new york,shabbat,https://www.facebook.com/jfederations?__cft__[0]=AZWnL9PBLyErzECDNASR5cGh9rEB05lovbbq7-bOHbPBdCEQCDbobaz_vval14jIHoS9xd2gA5kwm1VO9IOUCs9Vs7fGBotOVEIJSlvlcDfGu7r-DUjje982T_TmrfLWSYGH06fdY1zKbMTBrKSYiSI8&__tn__=-UC%2CP-R,"It may be cold outside, but a #Shabbat spent with family & friends is guaranteed to keep you feeling warm. Wishing you a warm & cozy #ShabbatShalom",3 d,https://www.facebook.com/photo/?fbid=556765213157502&set=a.421220450045313&__cft__[0]=AZWnL9PBLyErzECDNASR5cGh9rEB05lovbbq7-bOHbPBdCEQCDbobaz_vval14jIHoS9xd2gA5kwm1VO9IOUCs9Vs7fGBotOVEIJSlvlcDfGu7r-DUjje982T_TmrfLWSYGH06fdY1zKbMTBrKSYiSI8&__tn__=%2CO%2CP-R
American Friends of Magen David Adom,new york,shabbat,https://www.facebook.com/AFMDA?__cft__[0]=AZUZXLPw9ihOgQ97zO7T4WPx1qzWpdeGG4QyrlR834q5qV8Yk_JxsD2x-EmPDcukY6MEdVt8_rrbE8t3TZzKmpwmB7a8ud9AgSGkOoqGZ0VAqwGPWaNlb7Ck8FMq2zipPDM&__tn__=-UC%2CP-R,Shabbat Shalom!,3 d,https://www.facebook.com/AFMDA/posts/555716516594328?__cft__[0]=AZUZXLPw9ihOgQ97zO7T4WPx1qzWpdeGG4QyrlR834q5qV8Yk_JxsD2x-EmPDcukY6MEdVt8_rrbE8t3TZzKmpwmB7a8ud9AgSGkOoqGZ0VAqwGPWaNlb7Ck8FMq2zipPDM&__tn__=%2CO%2CP-R
Kosha Dillz,new york,shabbat,https://www.facebook.com/koshadillz?__cft__[0]=AZUZIqW__ITqOK4WuhR2oINa-5OV4l6lzb5FmQrsp8zTSQiaVApgaPV0VUhWf6et3Ns32e0iuSqYJFofF_jw19Bd-L_q6jkYJ83D9yPQ5DGC09vTQtisYM0QLQfrFCYTgUc&__tn__=-UC%2CP-R,Off to Sundance in Park City Utah   Shabbat Shalom  say it back !,3 d,https://www.facebook.com/koshadillz/posts/718640992963389?__cft__[0]=AZUZIqW__ITqOK4WuhR2oINa-5OV4l6lzb5FmQrsp8zTSQiaVApgaPV0VUhWf6et3Ns32e0iuSqYJFofF_jw19Bd-L_q6jkYJ83D9yPQ5DGC09vTQtisYM0QLQfrFCYTgUc&__tn__=%2CO%2CP-R
Wilbur Ministries,new york,shabbat,https://www.facebook.com/PaulWilbur/?__cft__[0]=AZUQuTP_ihTRNZrbaCDApShZBXGM6mQ9PZTNjAahsKh9yDDyekBWQOFkRP0VlGcnUBurLkqK1czEQ6m40Gt-v73Vc3nxuTHr4U9vksBd-3WjRs-APfLBe9xDHxWcgS2i7J18HmBBoZuSQAIF7i8UpXwY&__tn__=kC%2CP-R,"This episode is a rerun as we are currently working to create new content. If you love Shabbat in Your Home or consider it your virtual congregation, please consider joining as a Shabbat in Your Home Founding Partner (https://www.wilburministries.com/.../shabbatinyourhome) and help us get this message to the nations.",3 d,https://www.facebook.com/PaulWilbur/videos/718859646467595/?__cft__[0]=AZUQuTP_ihTRNZrbaCDApShZBXGM6mQ9PZTNjAahsKh9yDDyekBWQOFkRP0VlGcnUBurLkqK1czEQ6m40Gt-v73Vc3nxuTHr4U9vksBd-3WjRs-APfLBe9xDHxWcgS2i7J18HmBBoZuSQAIF7i8UpXwY&__tn__=%2CO%2CP-R
Hananya Naftali,new york,shabbat,https://www.facebook.com/hnaftali?__cft__[0]=AZU_whOvEWU-o39StJ25HbiL5YqRrKQ2ZtQpKqGL187_miWaSJFclQPUDthdg-xJ-pXNmMimkGRoUb8NbeW0ecWDU0EQv5cX4TqbSVAw14JCF54TWAjwA71IQsAKTG99RvaJ05T6eUwBrHCbbc5g4m6h&__tn__=-]C%2CP-R,Shabbat Shalom from the Sea of Galilee ,21 January 2022,https://www.facebook.com/hnaftali/videos/3142222919438832/?__cft__[0]=AZU_whOvEWU-o39StJ25HbiL5YqRrKQ2ZtQpKqGL187_miWaSJFclQPUDthdg-xJ-pXNmMimkGRoUb8NbeW0ecWDU0EQv5cX4TqbSVAw14JCF54TWAjwA71IQsAKTG99RvaJ05T6eUwBrHCbbc5g4m6h&__tn__=%2CO%2CP-R
#shabbatshalom,new york,shabbat,https://www.facebook.com/hashtag/shabbatshalom?__eep__=6&__cft__[0]=AZV9W0i3J9mm71Q_pKedQV20FOXENEmLZFm3ji4H5KM-6oNn0sOL1JseQI4A7pY49hzEYGlErWHOuFqYHG3N_KpNFmuRcUmqS_85fRlEuHS18PF5K_YegX8PrYX41DwN6S0Pdecn_BjOkp6GPxVRPzSL&__cft__[1]=AZV9W0i3J9mm71Q_pKedQV20FOXENEmLZFm3ji4H5KM-6oNn0sOL1JseQI4A7pY49hzEYGlErWHOuFqYHG3N_KpNFmuRcUmqS_85fRlEuHS18PF5K_YegX8PrYX41DwN6S0Pdecn_BjOkp6GPxVRPzSL&__tn__=KH-R,na,20 Jan,na
Accidental Talmudist,new york,shabbat,https://www.facebook.com/accidentaltalmudist?__cft__[0]=AZU0kla4FZtyMWMCFXfyy28WwllwdEDTAe62FyAUN1z770dSxNywJKGUnRMdx6WWB7G2jZaJQo3GbgLqi1aRxmsfX861itUHVPfW5aaA2ExMpJijbC5oM3TDpLcipXL7BCs&__tn__=-UC%2CP-R,"As we roll toward this week’s finish line, I thought you’d get a kick out of a Sal-circa-80’s pic… (that’s my brother on the left)  Good Shabbos, my pals!",3 d,https://www.facebook.com/accidentaltalmudist/posts/719364149558609?__cft__[0]=AZU0kla4FZtyMWMCFXfyy28WwllwdEDTAe62FyAUN1z770dSxNywJKGUnRMdx6WWB7G2jZaJQo3GbgLqi1aRxmsfX861itUHVPfW5aaA2ExMpJijbC5oM3TDpLcipXL7BCs&__tn__=%2CO%2CP-R
Accidental Talmudist,new york,shabbat,https://www.facebook.com/accidentaltalmudist?__cft__[0]=AZWt8vFrkU3lqTge8q6HcDkQZZEWGT1osUBoQeV5xdOPJ1ZfZ19XRRRtnrshI4-fQaIpU3bRoZvHP6IqikY53ygHHgTkUjv8YmW9qYi4zoHPJtyRjUt9Kkx4KQ5dITOu9kg&__tn__=-UC%2CP-R,"Let’s get ready for Shabbos! Jewish women and girls, as well as men living alone, light candles 18 minutes before sunset on Friday to bring in the holy day of rest.",3 d,https://www.facebook.com/accidentaltalmudist/posts/719346429560381?__cft__[0]=AZWt8vFrkU3lqTge8q6HcDkQZZEWGT1osUBoQeV5xdOPJ1ZfZ19XRRRtnrshI4-fQaIpU3bRoZvHP6IqikY53ygHHgTkUjv8YmW9qYi4zoHPJtyRjUt9Kkx4KQ5dITOu9kg&__tn__=%2CO%2CP-R
Menachem Creditor,new york,shabbat,https://www.facebook.com/rabbicreditor?__cft__[0]=AZW5LnFMGiXH5D6KT7hV2bc19RsdB_Ycc7j2IaqGVBS7tVkcmrzlFCB5krZjA9gAuxwnmPrdD9OzO85flrafYx3I7fcBzkDQ_lPLLbQxUhGUoAxvWHMAgYMVWYbSCKoORes&__tn__=-UC%2CP-R,"So excited! Neshama and my special Shabbat with Temple Israel of Sharon, MA has been rescheduled for February 17-19! Can't wait to see all our Boston friends at a Shabbat full of davening and learning, and a Saturday night Neshama concert! ",9 h,https://www.facebook.com/rabbicreditor/posts/10160349332464450?__cft__[0]=AZW5LnFMGiXH5D6KT7hV2bc19RsdB_Ycc7j2IaqGVBS7tVkcmrzlFCB5krZjA9gAuxwnmPrdD9OzO85flrafYx3I7fcBzkDQ_lPLLbQxUhGUoAxvWHMAgYMVWYbSCKoORes&__tn__=%2CO%2CP-R
Rabbi Lawrence Hajioff,new york,shabbat,https://www.facebook.com/RabbiLawrenceHajioff?__cft__[0]=AZXLJyl6SalfRycx7NlPFH7GF7rzWpwQZNRWzXVy633hHbfud0EsryopgRVW7wqczrVPZLeqP2Y3WMAOZenexNnXybM8lj7qsci356VjlgdyaS1Bn4ln_AbBYvkCfszRW0y8PnCOhqSQT_c29ikNWtAc&__tn__=-UC%2CP-R,Escaping the safety of the mind and soul. Shabbat Shalom. ,3 d,https://www.facebook.com/RabbiLawrenceHajioff/posts/591177762823557?__cft__[0]=AZXLJyl6SalfRycx7NlPFH7GF7rzWpwQZNRWzXVy633hHbfud0EsryopgRVW7wqczrVPZLeqP2Y3WMAOZenexNnXybM8lj7qsci356VjlgdyaS1Bn4ln_AbBYvkCfszRW0y8PnCOhqSQT_c29ikNWtAc&__tn__=%2CO%2CP-R
Rabbi Shmuley Boteach,new york,shabbat,https://www.facebook.com/RabbiShmuleyBoteach?__cft__[0]=AZXzaiOwi_INbG1zrrLarROLtCJZNOEz0VaOFpWla_gO59K1f8Asrs-0KLUy6ppCLoI0AGnOi6-it8ku5akMu_v8dZhkdjyOPXQCd5Q3WCT1uUJilBoMOJzz3nr1rXDc4nU&__tn__=-UC%2CP-R,Chabad of Venice Where I spoke on Shabbos and thank you so much Rabbi Rami and @rebbetzinunplugged,2 d,https://www.facebook.com/RabbiShmuleyBoteach/posts/738041911016908?__cft__[0]=AZXzaiOwi_INbG1zrrLarROLtCJZNOEz0VaOFpWla_gO59K1f8Asrs-0KLUy6ppCLoI0AGnOi6-it8ku5akMu_v8dZhkdjyOPXQCd5Q3WCT1uUJilBoMOJzz3nr1rXDc4nU&__tn__=%2CO%2CP-R
